順位,スコア,子会社コード,子会社名,市場,時価総額(億円),PBR,親会社,親会社コード,持株比率(%),少数株主分の買収費用(億円),親時価総額比,親の解消実績(件),スコアの根拠
1,9,2892,日本食品化工,スタンダード,230.5,0.77,三菱商事,8058,60.68,90.6,0.001,4,親会社が直近3年で4社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
2,9,5282,ジオスター,スタンダード,124.1,0.5,日本製鉄,5401,44.1,69.4,0.002,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
3,9,4113,田岡化学工業,スタンダード,115.1,0.59,住友化学,4005,50.58,56.9,0.006,2,親会社が直近3年で2社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
4,9,2653,イオン九州,スタンダード,962.9,1.61,イオン,8267,69.9,289.8,0.008,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 2/3超保有(少数株主が僅少)
5,9,5449,大阪製鐵,スタンダード,766.2,0.63,日本製鉄,5401,55.58,340.3,0.009,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
6,9,3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード,1741.7,0.85,イオン,8267,18.44,1420.5,0.039,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
7,8,2003,日東富士製粉,スタンダード,697.8,1.42,三菱商事,8058,64.74,246.0,0.001,4,親会社が直近3年で4社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
8,8,2393,日本ケアサプライ,スタンダード,694.7,3.86,三菱商事,8058,38.52,427.1,0.002,4,親会社が直近3年で4社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
9,8,6366,千代田化工建設,スタンダード,1814.3,2.83,三菱商事,8058,60.23,721.5,0.004,4,親会社が直近3年で4社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
10,8,2698,キャンドゥ,スタンダード,520.0,4.83,イオン,8267,35.55,335.1,0.009,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
11,8,7512,イオン北海道,スタンダード,1192.3,1.56,イオン,8267,65.62,409.9,0.011,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
12,8,8198,マックスバリュ東海,スタンダード,1063.4,1.11,イオン,8267,63.86,384.3,0.011,3,親会社が直近3年で3社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
13,8,8278,フジ,プライム,1771.9,0.79,イオン,8267,50.6,875.3,0.024,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
14,7,3315,日本コークス工業,プライム,288.1,0.85,日本製鉄,5401,22.55,223.1,0.006,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
15,7,9632,スバル興業,スタンダード,454.9,1.19,東宝,9602,52.82,214.6,0.016,1,親会社が直近3年で1社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
16,7,7299,フジオーゼックス,スタンダード,177.5,0.54,大同特殊鋼,5471,47.9,92.5,0.019,1,親会社が直近3年で1社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
17,7,7211,三菱自動車工業,プライム,4933.2,0.54,三菱商事,8058,26.67,3617.5,0.02,4,親会社が直近3年で4社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
18,7,2588,プレミアムウォーターホールディングス,スタンダード,806.2,3.59,光通信,9435,29.62,567.4,0.034,2,親会社が直近3年で2社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
19,7,8570,イオンフィナンシャルサービス,プライム,3510.3,0.74,イオン,8267,49.99,1755.5,0.048,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
20,6,2281,プリマハム,プライム,1209.8,1.0,伊藤忠商事,8001,46.19,651.0,0.004,6,親会社が直近3年で6社を解消済み / 買収費用が親の時価総額の5%未満
21,6,4343,イオンファンタジー,プライム,540.6,6.87,イオン,8267,60.47,213.7,0.006,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の5%未満
22,6,8133,伊藤忠エネクス,プライム,2646.7,1.41,伊藤忠商事,8001,55.71,1172.2,0.007,6,親会社が直近3年で6社を解消済み / 買収費用が親の時価総額の5%未満
23,6,2806,ユタカフーズ,スタンダード,133.2,0.58,東洋水産,2875,50.86,65.5,0.007,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
24,6,9946,ミニストップ,プライム,523.9,2.2,イオン,8267,48.71,268.7,0.007,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の5%未満
25,6,6391,加地テック,スタンダード,79.2,0.93,三井Ｅ＆Ｓ,7003,51.06,38.8,0.009,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
26,6,3159,丸善ＣＨＩホールディングス,スタンダード,352.6,0.62,大日本印刷,7912,54.92,159.0,0.013,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
27,6,3280,エストラスト,スタンダード,56.7,0.53,西部ガスホールディングス,9536,51.9,27.3,0.028,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
28,6,4645,市進ホールディングス,スタンダード,35.4,1.55,学研ホールディングス,9470,49.7,17.8,0.04,1,親会社が直近3年で1社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
29,6,4615,神東塗料,スタンダード,44.2,0.34,大日本塗料,4611,50.1,22.1,0.049,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
30,6,3391,ツルハホールディングス,プライム,9793.6,1.12,イオン,8267,50.11,4886.0,0.134,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
31,6,9691,両毛システムズ,スタンダード,,,ミツバ,7280,51.31,,,2,親会社が直近3年で2社を解消済み / スタンダード市場(解消の約6割) / 辛うじて過半数(解消ケースの最頻帯)
32,5,6185,ＳＭＮ,スタンダード,53.1,1.23,ソニーグループ,6758,53.74,24.6,0.0,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
33,5,2148,アイティメディア,プライム,225.1,3.18,ソフトバンク,9434,53.4,104.9,0.001,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
34,5,5482,愛知製鋼,プライム,2075.2,0.88,トヨタ自動車,7203,24.69,1562.8,0.004,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
35,5,1948,弘電社,スタンダード,998.3,4.03,三菱電機,6503,51.36,485.6,0.005,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
36,5,7970,信越ポリマー,プライム,1828.5,1.4,信越化学工業,4063,53.48,850.6,0.008,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
37,5,3116,トヨタ紡織,プライム,3995.7,0.81,トヨタ自動車,7203,32.43,2699.9,0.008,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
38,5,8844,コスモスイニシア,スタンダード,418.8,0.75,大和ハウス工業,1925,38.21,258.8,0.009,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
39,5,4059,まぐまぐ,スタンダード,11.4,1.28,エアトリ,6191,69.34,3.5,0.01,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 2/3超保有(少数株主が僅少)
40,5,6473,ジェイテクト,プライム,6630.9,0.82,トヨタ自動車,7203,24.26,5022.2,0.014,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
41,5,1850,南海辰村建設,スタンダード,121.4,0.62,ＮＡＮＫＡＩ,9044,57.71,51.3,0.015,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
42,5,9436,沖縄セルラー電話,スタンダード,4079.5,4.13,ＫＤＤＩ,9433,53.24,1907.6,0.017,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
43,5,7215,ファルテック,スタンダード,39.7,0.21,ＴＰＲ,6463,55.53,17.7,0.018,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
44,5,9414,日本ＢＳ放送,スタンダード,177.3,0.71,ビックカメラ,3048,61.35,68.5,0.023,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
45,5,3841,ジーダット,スタンダード,51.9,2.04,アルゴグラフィックス,7595,51.4,25.2,0.028,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
46,5,9057,遠州トラック,スタンダード,245.5,0.99,住友倉庫,9303,60.58,96.8,0.031,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
47,5,7259,アイシン,プライム,15577.9,0.74,トヨタ自動車,7203,22.34,12097.8,0.034,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
48,5,9726,ＫＮＴ−ＣＴホールディングス,スタンダード,550.8,1.6,近鉄グループホールディングス,9041,53.56,255.8,0.038,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
49,5,3686,ディー・エル・イー,スタンダード,26.1,0.65,朝日放送グループホールディングス,9405,45.0,14.4,0.039,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / PBR1倍割れ
50,5,9423,フォーバル・リアルストレート,スタンダード,25.5,3.68,フォーバル,8275,54.9,11.5,0.044,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
51,5,5659,日本精線,プライム,434.0,1.02,大同特殊鋼,5471,50.37,215.4,0.044,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
52,5,6744,能美防災,プライム,2401.6,1.78,セコム,9735,51.89,1155.4,0.045,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
53,5,7614,オーエムツーネットワーク,スタンダード,102.8,0.56,Ｓ　Ｆｏｏｄｓ,2292,53.83,47.5,0.055,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
54,5,7222,日産車体,スタンダード,1257.0,0.67,日産自動車,7201,50.0,628.5,0.058,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
55,5,2327,日鉄ソリューションズ,プライム,6874.6,2.49,日本製鉄,5401,63.43,2514.0,0.069,3,親会社が直近3年で3社を解消済み / 買収費用が親の時価総額の15%未満
56,5,9369,キユーソー流通システム,スタンダード,738.5,1.58,キユーピー,2809,43.29,418.8,0.07,1,親会社が直近3年で1社を解消済み / スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満
57,5,3909,ショーケース,スタンダード,16.6,0.99,ＡＩフュージョンキャピタルグループ,254A,51.0,8.1,0.077,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
58,5,8075,神鋼商事,プライム,838.9,0.82,神戸製鋼所,5406,13.32,727.2,0.089,2,親会社が直近3年で2社を解消済み / 買収費用が親の時価総額の15%未満 / PBR1倍割れ
59,4,6662,ユビテック,スタンダード,32.7,2.14,オリックス,8591,57.64,13.9,0.0,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
60,4,3850,エヌ・ティ・ティ・データ・イントラマート,スタンダード,192.2,3.27,ＮＴＴ,9432,21.75,150.4,0.001,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
61,4,4685,菱友システムズ,スタンダード,346.3,1.57,三菱重工業,7011,31.21,238.2,0.002,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
62,4,7102,日本車輌製造,プライム,523.8,0.62,東海旅客鉄道,9022,50.95,256.9,0.007,0,買収費用が親の時価総額の5%未満 / PBR1倍割れ / 辛うじて過半数(解消ケースの最頻帯)
63,4,3326,ランシステム,スタンダード,28.9,8.85,ＡＯＫＩホールディングス,8214,55.47,12.9,0.009,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
64,4,8572,アコム,スタンダード,7615.3,1.06,三菱ＵＦＪフィナンシャル・グループ,8306,37.57,4754.2,0.012,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
65,4,7282,豊田合成,プライム,6124.6,1.05,トヨタ自動車,7203,21.65,4798.6,0.013,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満
66,4,7276,小糸製作所,プライム,6809.3,1.11,トヨタ自動車,7203,21.0,5379.3,0.015,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満
67,4,3633,ＧＭＯペパボ,スタンダード,134.1,4.06,ＧＭＯインターネットグループ,9449,55.43,59.8,0.016,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
68,4,9636,きんえい,スタンダード,117.1,6.17,近鉄グループホールディングス,9041,5.87,110.2,0.016,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
69,4,2573,北海道コカ・コーラボトリング,スタンダード,555.2,1.27,大日本印刷,7912,56.97,238.9,0.019,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
70,4,8700,丸八証券,スタンダード,77.8,1.0,東海東京フィナンシャル・ホールディングス,8616,43.63,43.9,0.019,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
71,4,2737,トーメンデバイス,プライム,2506.1,3.55,豊田通商,8015,26.62,1839.0,0.026,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の5%未満
72,4,7849,スターツ出版,スタンダード,114.9,1.06,スターツコーポレーション,8850,48.59,59.1,0.026,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
73,4,4356,応用技術,スタンダード,91.9,8.71,トランス・コスモス,9715,60.22,36.6,0.027,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
74,4,2226,湖池屋,スタンダード,522.2,2.44,日清食品ホールディングス,2897,45.1,286.7,0.034,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
75,4,9325,ファイズホールディングス,スタンダード,115.0,2.45,ＡＺ−ＣＯＭ丸和ホールディングス,9090,57.88,48.4,0.04,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
76,4,8244,近鉄百貨店,スタンダード,769.9,1.66,近鉄グループホールディングス,9041,63.12,283.9,0.042,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
77,4,3461,パルマ,スタンダード,42.4,1.91,ディア・ライフ,3245,39.29,25.7,0.047,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の5%未満
78,4,9827,リリカラ,スタンダード,78.1,1.03,ＴＫＰ,3479,53.01,36.7,0.053,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
