区分,子会社コード,子会社名,市場(子),時価総額(子/億円),PBR(子),親会社コード,親会社名,市場(親),時価総額(親/億円),親会社の持株比率(%),比率の種類,基準日,出所,備考
連結子会社(50%超),410A,ＧＭＯコマース,グロース,61.5,2.34,9449,ＧＭＯインターネットグループ,プライム,3722.5,91.67,所有株式数,2025-09-25,https://www.ipokiso.com/company/2025/gmo-c.html,2025-09-25東証グロース上場。数値はIPO情報サイト記載の「上場後の親会社保有比率」（ロックアップ180日）。一次情報（目論見書・有報）は未確認
連結子会社(50%超),4784,ＧＭＯインターネット,プライム,1642.9,4.82,9449,ＧＭＯインターネットグループ,プライム,3722.5,90.59,所有株式数,2025-12-31,https://www.ullet.com/4784/大株主,グループ会社2社の保有を含むと約92%
連結子会社(50%超),4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,グロース,20.7,1.25,6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,プライム,115.3,71.46,所有株式数,不明,https://www.strike.co.jp/ma_news/detail.html?id=20260825d,関係あり。2026-08-25に株式交換（簡易株式交換、比率1:0.478）による完全子会社化を発表。現在の保有71.46%。効力発生日2026-11-30、上場廃止予定日2026-11-26のため親子上場は解消見込み。比率の基準日は開示に明記なし
連結子会社(50%超),9445,フォーバルテレコム,スタンダード,92.5,2.41,8275,フォーバル,スタンダード,261.9,70.15,所有株式数,2026-03-31,https://www.ullet.com/フォーバルテレコム/大株主,
連結子会社(50%超),2653,イオン九州,スタンダード,962.9,1.61,8267,イオン,プライム,36339.6,69.9,所有株式数,2026-08-31,https://www.aeon-kyushu.info/ir/stock/stock_information,"24,307千株。2026年3月にトキハインダストリーを完全子会社化"
連結子会社(50%超),4059,まぐまぐ,スタンダード,11.4,1.28,6191,エアトリ,プライム,340.2,69.34,議決権,2025-09-30,https://kitaishihon.com/company/4059/board-of-director,親子関係あり。有価証券報告書の関係会社欄に親会社エアトリ69.34%と記載。まぐまぐ自身のプレスリリースでもエアトリを「当社親会社」と表記
連結子会社(50%超),6040,日本スキー場開発,グロース,214.2,2.09,2353,日本駐車場開発,プライム,843.2,68.6,所有株式数,不明,https://www.ullet.com/%E6%97%A5%E6%9C%AC%E3%82%B9%E3%82%AD%E3%83%BC%E5%A0%B4%E9%96%8B%E7%99%BA/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。ullet表示は2025年時点だが基準日の明示なし
連結子会社(50%超),7079,ＷＤＢココ,グロース,62.2,1.3,2475,ＷＤＢホールディングス,プライム,342.0,67.66,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/7079/stockholders/,
連結子会社(50%超),7177,ＧＭＯフィナンシャルホールディングス,スタンダード,1395.8,4.54,9449,ＧＭＯインターネットグループ,プライム,3722.5,65.73,所有株式数,2026-06-30,https://www.gmofh.com/ir/stock/shareholders.html,公式IR
連結子会社(50%超),7512,イオン北海道,スタンダード,1192.3,1.56,8267,イオン,プライム,36339.6,65.62,所有株式数,不明,https://www.ullet.com/%E3%82%A4%E3%82%AA%E3%83%B3%E5%8C%97%E6%B5%B7%E9%81%93/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。ullet表示は2026年時点(2月期)だが基準日の明示なし
連結子会社(50%超),4262,ニフティライフスタイル,グロース,88.5,1.44,7419,ノジマ,プライム,3759.9,65.3,議決権,2026-03-31,https://kitaishihon.com/company/4262/board-of-director,親子関係あり（間接）。直接の親会社はニフティ(株)で65.3%、ニフティはノジマの100%子会社のためノジマは孫会社として間接保有（有報上ノジマも議決権所有割合65.3%と記載）
連結子会社(50%超),5587,インバウンドプラットフォーム,グロース,27.7,1.7,6191,エアトリ,プライム,340.2,65.1,議決権,2025-09-30,https://kitaishihon.com/company/5587/board-of-director,親子関係あり。有価証券報告書の関係会社欄に親会社エアトリ（被所有）65.1%と記載
連結子会社(50%超),2003,日東富士製粉,スタンダード,697.8,1.42,8058,三菱商事,プライム,181134.3,64.74,所有株式数,2026-03-31,https://www.ullet.com/%E6%97%A5%E6%9D%B1%E5%AF%8C%E5%A3%AB%E8%A3%BD%E7%B2%89/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
